2.40,0.97,2.50,0.80,3.50,0.00,12.20,0.00,1.50,58.00
278.00,32.23,67.50,5.60,430.00,262.00,117.12,0.00,14.50,1530.00
52.00,26.73,7.50,4.00,30.00,24.40,217.16,0.00,3.50,348.00
40.00,26.73,4.00,4.60,11.00,8.80,236.68,0.00,0.00,250.00
51.20,26.70,13.60,3.80,90.00,3.50,151.30,7.20,0.00,416.00
2.40,1.90,4.20,1.20,9.00,1.00,9.80,0.00,0.00,65.00
0.80,1.00,1.30,0.60,3.00,0.00,4.90,0.00,0.00,52.00
78.40,34.02,18.50,3.00,116.00,4.50,187.88,0.00,60.00,583.00
17.60,6.80,12.00,5.20,31.00,0.50,65.88,0.00,1.50,156.00
1.60,2.43,1.50,0.40,4.00,1.00,14.64,0.00,0.00,51.00
24.80,4.86,11.00,1.40,24.00,2.00,85.40,0.00,0.00,172.00
1.60,1.94,1.00,Aus.,4.00,0.10,9.76,0.00,0.00,26.00
2.40,2.91,2.00,0.60,4.00,1.00,7.32,0.00,0.00,20.00
23.20,12.63,8.70,2.00,23.00,2.70,114.68,0.00,0.00,212.00
1.60,1.45,3.00,0.60,0.60,0.70,9.76,0.00,0.00,25.00
35.20,22.35,13.50,3.80,26.00,2.80,200.08,0.00,0.00,215.00
3.20,5.83,14.80,3.40,26.00,0.30,26.84,0.00,12.50,85.00
14.40,8.74,6.30,1.20,25.00,1.30,65.85,0.00,0.00,91.00
104.00,36.45,37.00,7.20,22.00,177.00,322.00,0.00,2.00,673.00
0.80,0.97,0.80,0.20,2.00,0.00,6.10,0.00,0.00,15.00
63.20,22.35,7.40,4.20,16.00,2.40,285.48,0.00,2.50,384.00
1.60,0.97,1.00,0.40,3.00,0.30,7.32,0.00,0.00,14.00
1.60,2.91,3.40,0.40,7.00,0.30,12.20,0.00,0.00,23.00
60.00,28.67,17.00,10.40,53.00,11.20,263.52,0.00,10.00,332.00
320.00,413.10,562.00,75.50,2425.00,210.00,141.50,0.00,0.00,4880.00
3.20,2.90,14.40,2.50,28.00,3.40,14.60,0.00,0.00,90.00
3.20,1.50,1.90,0.25,3.00,0.50,9.80,0.00,4.00,52.00
160.00,82.60,105.00,14.50,580.00,28.20,170.80,0.00,0.00,1480.00
152.00,77.80,110.50,15.50,490.00,45.20,287.90,0.00,0.00,1180.00
14.40,8.70,48.00,8.00,94.00,9.90,58.60,0.00,3.00,237.00
272.00,104.40,70.40,10.50,720.00,40.40,263.50,0.00,0.00,2040.00
360.00,680.40,1166.00,16.00,4100.00,430.00,231.80,0.00,5.00,8400.00
400.00,461.70,595.00,51.50,2900.00,5.30,209.80,0.00,0.00,6100.00
440.00,473.40,702.00,85.00,2925.00,246.00,165.90,0.00,0.00,5860.00
146.00,99.63,78.00,16.00,500.00,33.20,122.00,0.00,16.50,1160.00
11.20,6.31,6.80,18.60,9.00,0.80,20.28,0.00,2.50,142.00
11.20,2.91,1.60,0.60,6.00,0.10,43.92,0.00,0.00,80.00
9.60,2.43,1.40,0.40,4.00,0.20,36.60,0.00,0.00,65.00
8.00,3.40,2.50,0.40,8.00,0.00,34.16,0.00,0.00,64.00
480.00,534.00,734.00,39.00,3300.00,90.00,183.00,0.00,0.00,7124.00
140.00,196.26,340.00,24.00,1250.00,84.00,170.80,0.00,10.00,2713.00
56.00,80.19,116.00,10.40,450.00,19.20,122.00,0.00,2.00,940.00
72.00,38.88,22.40,4.80,190.00,13.20,156.16,0.00,0.00,520.00
14.40,8.74,15.20,1.00,56.00,5.60,29.28,0.00,2.00,135.00
188.00,262.44,400.00,12.00,1575.00,125.00,244.00,0.00,0.00,3348.00
180.00,187.00,340.00,20.00,1325.00,75.00,170.80,0.00,0.00,2709.00
