"Amostra","Latitude","Longitude","Elevation","Ca","Mg","Na","Cl","HCo3","Co3","No3","RS"
"PG-219",-12.05,-40.8180555555556,751.7998,13.2,6.8,62.5,100,73,0,0,270.8
"PG-220",-12.0125,-40.5652777777778,569.2998,1.9,1.3,17.5,23.8,16,0,0,63.9
"PG-223",-12.3069444444444,-40.4541666666667,334.7998,0.6,0.36,3.35,9.1,0,0,14.1,0
"PG-224",-12.1175,-39.7208333333333,494.6006,1.34,0.97,12.5,20.8,3,0,42.5,0
"PG-225",-12.2722222222222,-39.275,321.6006,4.7,7.1,50.5,93.1,20,0,0,0.2
"PG-226",-12.7402777777778,-39.8475,269.2002,1.47,1.15,4.8,15,14,0,0,42.7
"PG-227",-12.8625,-39.8569444444444,389,0.4,1.35,16.5,24,11,0,0.2,76
"PG-228",-12.8097222222222,-39.5027777777778,727.4004,2.2,1.6,9.5,20.5,6,0,0,0.5
"PG-229",-12.7916666666667,-39.0916666666667,222.90039,4.2,6.1,22.7,29.5,9,0,27.2,129
"PG-230",-12.7827777777778,-39.2138888888889,169,2.6,1.2,70.5,34.5,70,0,50.4,250.7
"PG-231",-12.975,-39.2541666666667,204,1.29,1.08,7.5,15.4,34.8,0,3.9,34.8
"PG-233",-12.5313888888889,-39.5113888888889,208.7002,9.8,7.8,94.5,169,30,0,9.6,349.2
"PG-234",-12.3511111111111,-39.2372222222222,166,5.5,6.5,100,99.1,11,0,146,382.4
"PG-235",-12.4683333333333,-39.5569444444444,193.7998,29.6,39.6,292,459,308,0,0.5,1169.5
"PG-236",-12.1711111111111,-40.2647222222222,314.1006,3.35,3.95,46.5,2.1,65,0,0.9,18.86
"PG-237",-12.8286111111111,-39.5472222222222,479.4004,1.65,2.06,16.5,28,19,0,0,0.2
"PG-238",-12.6844444444444,-41.8127777777778,1100.5,9,3.7,6,22.1,24.4,0,0,0.2
"PG-239",-12.9727777777778,-40.9488888888889,356.4004,6.15,2.2,2.5,6,31,0,0.1,0
"PG-24",-12.2883333333333,-41.0505555555556,589.7998,62,28.67,17,53,263.52,0,10,332
"PG-240",-12.3602777777778,-41.5113888888889,676.1006,24.1,9.6,6.5,19.4,98,0,0.5,0
"PG-241",-12.8377777777778,-41.7766666666667,1059,2.5,0.8,4.95,7,11,0,0.3,0
"PG-242",-12.2927777777778,-40.5477777777778,448.2002,493,606,980,383,270,0,0.5,0
"PG-243",-12.3247222222222,-40.3925,387.6006,68.1,80.3,208,583,196,0,0.5,0
"PG-244",-12.0630555555556,-41.0180555555556,602.1006,64.7,36.7,59.5,154,212,0,0.5,0
"PG-246",-12.7472222222222,-40.2008333333333,225.90039,6.55,2.78,2.51,5.4,29,0,0.6,0
"PG-247",-13.0177777777778,-40.8127777777778,322.9004,12.2,4.82,3.55,6.1,59,0,0.5,0
"PG-248",-12.9819444444444,-41.0819444444445,386.1006,0.85,0.4,1.4,2.9,0.2,3,0,0.2
"PG-249",-13.045,-41.0877777777778,386.9004,1.73,0.4,1.4,2.1,3,0,0.2,0
"PG-25",-12.2905555555556,-40.5080555555556,367.2002,310,413.1,562,2425,141.5,0,0,4880
"PG-250",-13,-41.4108333333333,1025.7002,0.55,0.25,1.9,4.4,3,0,0.3,0
"PG-251",-12.7880555555556,-41.2555555555556,371.2998,0.17,0.17,1.57,2,0.1,1,0,0.5
"PG-252",-12.8197222222222,-40.8308333333333,697.1006,257,181,1095,2710,68,0,0,0.5
"PG-253",-12.1261111111111,-40.3286111111111,317.9004,123,128,318,995,162,0,0,0.5
"PG-254",-12.1261111111111,-40.4655555555556,413.5,3.8,3.45,6.35,2.6,51,0,0.8,0
"PG-255",-13.3333333333333,-41.3561111111111,1090.7998,0.6,0.18,3.5,4.8,0.2,1,0,0.4
"PG-256",-12.4052777777778,-41.3836111111111,528.7998,17.8,5.5,5.35,11.9,76,0,0,0.5
"PG-257",-12.4772222222222,-41.1916666666667,454.5,12.6,6.1,7.5,13.9,66,0,0,0.5
"PG-258",-12.4675,-39.9222222222222,209,167,215,453,1570,79.7,0,0,0.5
"PG-259",-12.3333333333333,-40.1461111111111,253.2002,154,211,465,1545,66.4,0,0,0.5
"PG-260",-12.5313888888889,-40.2283333333333,248,89,120,225,869,84.5,0,1,0
"PG-261",-12.9991666666667,-40.5844444444444,273,5.7,2.25,2.3,5.8,30,0,0.1,0
"PG-263",-12.6022222222222,-39.4747222222222,146,4.35,2.65,4.65,11.9,13,0,0,0.5
"PG-264",-12.8558333333333,-40.3833333333333,255.10059,8.15,3.28,2.6,5.4,36,0,0.6,0
"PG-265",-12.3422222222222,-41.155,502.9004,20.7,11.1,9.5,19.3,112,0,0,0.5
"PG-266",-12.2522222222222,-41.1461111111111,517.2002,20.9,11.3,9.5,18.8,114,0,0,0.5
"PG-267",-12.2069444444444,-41.1369444444444,509.5,0.19,0.25,2.6,4,1,0,0,0.5
"PG-269",-12.1891666666667,-39.6666666666667,282.1006,1.5,0.97,12.5,20.8,3,0,0,0.5
"PG-270",-12.6755555555556,-40.8675,599.2002,2.6,2,46,63,31,0,1,180.8
"PG-271",-12.9188888888889,-40.1186111111111,397.1006,2.9,1.6,18.2,15,40,0,0,0.05
"PG-272",-12.1711111111111,-41.7213888888889,745,0.95,0.85,5.25,10,6,0,1.7,24.89
"PG-273",-12.3241666666667,-40.5202777777778,406.1006,11,10.1,51,107,33.2,0,0.5,237.3
"PG-28",-12.3513888888889,-40.9013888888889,626.9004,161,82.6,105,580,170.8,0,0,1480
"PG-29",-12.0652777777778,-40.9725,597.7998,152,77.8,110.5,490,287.9,0,0,1180
"PG-30",-12.045,-40.8072222222222,656,14.4,8.7,48,94,58.6,0,3,237
"PG-31",-12.2252777777778,-40.7822222222222,593.7002,272,104.4,70.4,720,263.5,0,0,2040
"PG-32",-12.7238888888889,-40.5766666666667,300,360,680.4,1166,4100,231.8,0,5,8400
"PG-33",-12.9122222222222,-40.6988888888889,332.1006,400,461.7,595,2900,209.8,0,0,6100
"PG-34",-12.3244444444444,-40.7202777777778,447,440,473.4,702,2925,165.9,0,0,5860
"PG-35",-12.6466666666667,-40.9325,586.7998,146,99.63,78,500,122,0,16.5,1160
"PG-40",-12.9638888888889,-40.4769444444444,348.7998,480,534,734,3300,183,0,0,7124
"PG-41",-12.5291666666667,-40.3163888888889,260.5,140,196.26,340,1250,170.8,0,10,2713
"PG-42",-12.5313888888889,-40.0802777777778,222.10059,56.5,80.19,116,450,122,0,2,940
"PG-43",-12.8197222222222,-39.9175,388.7998,72,38.88,22.4,190,156.16,0,0,520
"PG-44",-12.5877777777778,-39.5205555555556,145.60059,14.4,8.74,15.2,56,29.28,0,2,135
"PG-45",-12.3197222222222,-39.695,257,188,262.44,400,1575,244,0,0,3348
"PG-46",-12.3558333333333,-40.0413888888889,219.7998,180,187,340,1325,170.8,0,0,2709
"PG-47",-12.2680555555556,-39.8463888888889,220.7998,208,347.49,500,1800,280.6,0,0,3946
"PG-48",-12.1058333333333,-39.8477777777778,260.7998,61,65.61,300,380,549,0,0,1549
"PG-49",-12.1786111111111,-40.4025,314.4004,128,123.93,247,900,134.2,0,0,1832
"PG-50",-12.0338888888889,-39.6913888888889,282.1006,92,607.5,920,3800,280.6,0,0,7169
"PG-51",-12.3525,-40.4127777777778,335.4004,392,478.71,375,2200,146.4,0,0,4280
"PG-52",-12.1847222222222,-39.4938888888889,221,460,546.75,950,3550,280.6,0,0,6317
"PG-54",-12.0947222222222,-40.2133333333333,304,450,486,565,2750,229.4,0,4,5600
"PG-62",-13.1847222222222,-40.9555555555556,546.9004,120,102.1,54,430,226.9,0,8.5,943
"PG-65",-13.1086111111111,-40.4025,326,976,108,5,39,0,0,8,205
"PG-68",-12.7072222222222,-38.4536111111111,64.299805,6.6,4.37,8,20,24.4,0,2,72
"PG-70",-12.3513888888889,-38.9444444444444,224.7002,44,1.21,210,130,370.8,0,0,850
"PG-72",-12.3016666666667,-38.6394444444444,113.40039,17.6,13.6,21.5,63,73.2,0,8.5,190
"PG-73",-12.2027777777778,-38.8658333333333,235.90039,8,14.58,126,140,73.2,0,140,590
"PG-75",-12.5013888888889,-38.4930555555556,48,22,9.72,37,30,146.4,0,0,260
"PG-76",-12.4255555555556,-38.3411111111111,105.200195,10.4,13.12,40,100,34.16,0,2.5,257
"PG-77",-12.6463888888889,-38.0633333333333,7.9003906,34,9.72,20.5,49,73.2,0,0,230
"PG-78",-12.7658333333333,-38.1769444444444,4.2001953,16,6.07,37.5,45,48.8,0,12.5,220
"PG-79",-12.6780555555556,-39.2419444444444,234.10059,56,68,268.4,500,317.2,0,0,1233
"PG-80",-12.9122222222222,-39.3641666666667,206.90039,36,29.2,95,145,266,0,1.5,547
"PG-82",-12.9325,-38.6255555555556,23,25.6,17.98,14.4,22,158.6,0,0,235
"PG-83",-13.0633333333333,-38.7883333333333,7.9003906,27.2,12.63,5,10,145.4,0,0,140
"PG-84",-12.8355555555556,-39.1036111111111,144.7998,36,41.31,119,160,290.36,14.38,0,722
"PG-87",-13.1147222222222,-38.9027777777778,7.9003906,1.6,1.94,1.6,7,7.32,0,0,20.76
"PG-89",-12.4819444444444,-39.2163888888889,168.7002,8.8,12.15,45.6,146,19.52,0,22,386
"PG-90",-12.1869444444444,-39.3452777777778,242.7998,65,80,205,350,336.72,0,172.5,1164
"PG-91",-12.125,-39.1080555555556,158.5,210,499.36,775,2750,126.88,0,1.5,5057
"PG-92",-12.9541666666667,-38.3563888888889,12.900391,28,3.9,16.6,35,85.4,0,12,190
"PG-93",-12.9875,-38.3563888888889,0,46,17.5,18.3,68,175.7,0,0,324
"PG-99",-12.2,-38.5,233,2,6.32,26.5,46,7.32,0,44.5,207
