"Amostra","Latitude","Longitude","Elevation","Ca","Mg","Na","Cl","HCo3","Co3","No3","RS"
"CN-32",-13.6919444444444,-39.7941666666667,281.6006,201,170.1,464,1500,165.92,0,4.5,3550
"CN-35",-13.5488888888889,-39.6505555555556,195.60059,112,134.86,130,400,492.88,0,85,1342
"CN-36",-14.0905555555556,-41.75,517,50,27.94,114,160,283.04,0,6.5,684
"CN-37",-14.0247222222222,-41.655,388.9004,156,63.18,140,450,297.68,0,22.5,1228
"CN-38",-14.3866666666667,-41.8794444444445,497.7002,3.8,5.34,5.5,10,53.68,0,0,79
"CN-39",-14.0133333333333,-41.4394444444445,378,19.2,9.23,12,28,78.08,0,1,131
"CN-41",-14.0252777777778,-41.3019444444444,450,25.6,15.06,37.5,80,126.88,0,1.5,253
"CN-42",-14.2825,-41.7544444444444,445,114,65.6,124,370,380.64,0,9,1189
"CN-43",-14.6208333333333,-41.13,403.7002,61.7,57.1,71.2,140,353.8,0,45,724
"CN-44",-14.6961111111111,-41.6386111111111,711.9004,94,92.34,111.2,215,331.84,0,295,1089
"CN-45",-14.5494444444444,-41.675,685.4004,28,11.17,71.2,35,268.4,0,1.5,439
"CN-46",-14.4338888888889,-41.925,515.9004,124,26.73,90,260,341.6,0,0,888
"CN-48",-14.6575,-41.5208333333333,664.5,106,47.38,45,315,170.8,0,5.5,710
"CN-50",-14.8938888888889,-41.9716666666667,642.7998,225,80.19,240,575,585.6,0,49.5,1913
"CN-51",-14.2975,-41.2672222222222,471,10,9.2,8.5,19,68.3,0,1,102
"CN-52",-14.8691666666667,-41.1283333333333,543.7002,136,72.9,105,82,0,50.5,1048,
"CN-54",-14.8377777777778,-41.3925,454.7002,44.37,30.4,47.2,137.5,170.8,0,5,412
"CN-55",-14.975,-41.4158333333333,510,18.4,9.72,59,82.5,117.12,0,0,355
"CN-57",-14.59,-41.2569444444444,538.2998,413,160.38,256,1075,287.92,0,5,3255
"CN-59",-14.4111111111111,-41.0719444444444,359.7002,70,64.39,136,500,48.8,0,0,1054
"CN-60",-14.9027777777778,-41.3338888888889,491.2002,13.6,9.23,21.7,30,97.6,0,0,156
"CN-62",-14.9366666666667,-41.7169444444444,623.7002,112.8,56.37,104,59.6,0,120,1161,
"CN-63",-14.5066666666667,-41.7613888888889,589.2002,44.7,38.88,125,220,265.96,35.97,0,739
"CN-66",-14.6211111111111,-40.665,784.2998,35.2,12.2,19.8,33,173.2,0,2,308
"CN-70",-14.4544444444444,-40.6802777777778,619.7002,12.8,5.3,18.8,16,102.5,0,0,146
"CN-73",-14.5675,-40.2966666666667,832,16,8.74,18.8,47,73.2,0,0,176
"CN-75",-14.8038888888889,-40.1447222222222,433.2998,16,10.69,18.5,50,73.2,0,0,180
"CN-77",-14.5886111111111,-40.425,858,103,364.5,38.5,600,736.88,0,78.75,2263
"CN-79",-14.1195,-40.2030555555556,501,925,1001,1019,6500,292.8,0,0,10210
"CN-80",-14.1808333333333,-40.3688888888889,637.7002,163,153,290,1000,302.56,0,0,2300
"CN-81",-14.0475,-40.56,340.9004,24,14,27,10,0,0,208,
