12.5719444444444,38.8952777777778,CA,Mg,Na,k
12.625,40.9555555555556,28.00,3.90,16.60,1.30
12.6416666666667,40.9416666666667,46.00,17.50,18.30,3.10
12.3222222222222,39.2916666666667,4.00,3.89,29.00,8.10
12.1277777777778,39.6972222222222,4.80,3.40,17.25,1.12
13.2611111111111,41.0222222222222,5.60,8.60,69.37,15.50
13.2833333333333,40.9611111111111,4.00,1.70,5.80,0.60
13.3,40.9611111111111,6.40,5.59,31.50,15.50
13.0805555555556,41.0194444444444,2.00,6.32,26.50,8.80
13.2111111111111,41.0527777777778,2.40,6.80,8.75,1.75
13.2138888888889,41.0305555555556,4.00,8.26,30.50,12.40
13.2138888888889,41.0305555555556,11.20,22.84,113.75,34.60
13.2027777777778,40.9888888888889,4.80,10.69,101.25,11.80
13.2222222222222,40.9361111111111,6.40,3.89,13.75,4.62
12.275,40.9972222222222,26.40,1.45,24.00,20.00
12.3361111111111,40.9055555555556,8.80,5.35,7.75,2.74
12.3583333333333,40.8583333333333,6.40,6.80,33.50,15.00
12.875,39.8555555555556,1.60,2.43,13.75,4.48
12.7,39.7166666666667,4.00,3.40,8.75,3.60
12.7166666666667,39.1777777777778,9.60,6.80,32.50,15.90
12.7166666666667,39.1777777777778,1.60,1.94,10.75,5.06
12.7166666666667,39.1777777777778,135.20,13.61,33.75,27.00
12.7722222222222,39.0333333333333,1.60,1.94,10.75,1.56
12.9916666666667,39.3777777777778,13.60,15.07,67.50,6.20
12.9694444444444,39.2611111111111,4.00,4.81,9.50,1.86
12.45,39.2333333333333,64.00,38.88,197.00,40.50
12.4416666666667,39.2166666666667,16.00,3.40,9.50,2.00
12.8472222222222,39.0916666666667,12.00,9.23,49.50,22.50
12.7555555555556,39.2111111111111,2.40,1.94,6.40,2.24
12.1666666666667,39.3666666666667,6.40,2.43,5.60,1.56
12.1472222222222,39.3138888888889,3.20,1.46,9.75,2.18
12.1805555555556,39.3222222222222,1.60,1.46,5.40,0.60
12.0972222222222,41575,60.80,9.23,31.00,14.50
12.0222222222222,40.9916666666667,4.80,1.46,9.75,4.18
12.0944444444444,40.9888888888889,10.40,1.94,8.75,3.34
12.0944444444444,40.9888888888889,4.00,0.97,17.50,1.00
12.775,41.4902777777778,2.40,0.49,4.00,1.00
12.8125,41.8277777777778,11.20,9.76,67.50,14.60
12.0055555555556,41.0513888888889,48.00,5.58,47.00,20.00
12.1138888888889,41.1,6.80,2.19,10.73,3.34
12.1138888888889,41.1,11.20,3.40,24.25,16.70
12.9472222222222,41.0944444444444,9.60,1.46,7.00,1.74
12.05,40.8180555555556,3.20,5.35,32.50,2.98
12.0125,40.5652777777778,7.20,8.75,19.50,10.00
12.0444444444444,40.3972222222222,2.40,1.94,36.25,4.50
12.025,40.4833333333333,1.60,1.94,25.05,2.95
12.3069444444444,40.4541666666667,1.60,1.46,27.25,4.00
12.1175,39.7208333333333,2.40,2.67,27.55,4.90
12.2722222222222,39.275,3.20,0.48,25.00,5.00
12.7402777777778,39.8475,2.40,1.45,27.50,4.60
12.8625,39.8569444444444,1.60,3.16,30.00,4.90
12.8097222222222,39.5027777777778,15.20,10.69,25.50,10.00
12.7916666666667,39.0916666666667,4.80,0.48,37.00,6.00
