Latitude,Longitude,CA,MG,Na,K,Cl,So4,HCo3,Co3,No3,RS
-12.2680555555556,-39.8463888888889,208.00,347.49,500.00,10.00,1800.00,175.00,280.60,0.00,0.00,3946.00
-12.1058333333333,-39.8477777777778,60.00,65.61,300.00,7.00,380.00,75.00,549.00,0.00,0.00,1549.00
-12.1786111111111,-40.4025,128.00,123.93,247.00,16.00,900.00,40.00,134.20,0.00,0.00,1832.00
-12.0338888888889,-39.6913888888889,92.00,607.50,920.00,13.16,3800.00,350.00,280.60,0.00,0.00,7169.00
-12.3525,-40.4127777777778,392.00,478.71,375.00,27.60,2200.00,575.00,146.40,0.00,0.00,4280.00
-12.1847222222222,-39.4938888888889,460.00,546.75,950.00,33.00,3550.00,400.00,280.60,0.00,0.00,6317.00
-12.2669444444444,-39.5997222222222,840.00,1688.85,1000.00,27.00,7750.00,250.00,446.52,0.00,0.00,11580.00
-12.0947222222222,-40.2133333333333,440.00,486.00,565.00,23.60,2750.00,345.00,229.40,0.00,4.00,5600.00
-12.5291666666667,-39.9275,9.60,5.40,3.30,0.60,8.00,0.70,46.40,0.00,0.00,90.00
-13.5030555555556,-41.4577777777778,4.00,0.48,0.20,0.10,2.00,0.50,12.20,0.00,0.00,18.00
-13.2494444444444,-41.4425,1.60,0.97,1.40,0.40,2.50,0.00,9.76,0.00,0.00,24.00
-13.5805555555556,-41.3608333333333,1.60,1.00,1.40,0.60,3.00,1.50,9.80,0.00,1.00,20.00
-13.135,-41.4986111111111,1.60,1.00,1.40,0.60,2.00,0.80,9.80,0.00,0.00,33.00
-12.9763888888889,-41.5597222222222,1.60,0.50,1.10,0.40,1.00,0.50,9.80,0.00,0.00,28.0
-12.9758333333333,-41.2744444444444,1.60,0.50,1.00,0.00,2.00,1.50,4.90,0.00,0.00,45.00
-13.1847222222222,-40.9555555555556,120.00,102.10,54.00,4.40,430.00,11.80,226.90,0.00,8.50,943.00
-13.3252777777778,-40.4291666666667,5.60,1.45,13.50,2.00,25.00,2.00,24.40,0.00,0.00,75.00
-13.4341666666667,-41.1105555555556,17.60,8.74,0.60,1.20,3.00,1.00,87.84,0.00,1.50,95.00
-13.1086111111111,-40.4025,976.00,108.00,5,300.00,39.00,146.40,0.00,0.00,8,205.00
-13.1672222222222,-40.7661111111111,4.00,1.45,2.40,0.80,4.00,1.20,17.08,0.00,3.50,34.00
-13.1275,-41.1094444444444,5.60,0.48,1.80,0.60,3.00,0.90,17.08,0.00,1.50,25.00
-12.7072222222222,-38.4536111111111,6.60,4.37,8.00,3.00,20.00,3.50,24.40,0.00,2.00,72.00
-12.7747222222222,-38.7766666666667,7.20,2.41,5.50,0.20,18.00,3.00,17.08,0.00,0.00,55.00
-12.3513888888889,-38.9444444444444,44.00,1.21,210.00,4.20,130.00,115.00,370.80,0.00,0.00,850.00
-12.0105555555556,-38.6341666666667,9.60,2.91,19.00,5.60,40.00,1.00,21.96,0.00,14.00,122.00
-12.3016666666667,-38.6394444444444,17.60,13.60,21.50,13.00,63.00,3.50,73.20,0.00,8.50,190.00
-12.2027777777778,-38.8658333333333,8.00,14.58,126.00,8.50,140.00,12.80,73.20,0.00,140.00,590.00
-12.16,-38.4194444444444,4.00,1.45,7.50,0.20,16.00,0.40,4.88,0.00,7.00,48.00
-12.5013888888889,-38.4930555555556,22.00,9.72,37.00,4.00,30.00,7.50,146.40,0.00,0.00,260.00
-12.4255555555556,-38.3411111111111,10.40,13.12,40.00,6.50,100.00,4.50,34.16,0.00,2.50,257.00
-12.6463888888889,-38.0633333333333,34.00,9.72,20.50,2.50,49.00,48.00,73.20,0.00,0.00,230.00
-12.7658333333333,-38.1769444444444,16.00,6.07,37.50,4.00,45.00,43.20,48.80,0.00,12.50,220.00
-12.6780555555556,-39.2419444444444,56.00,68.00,268.40,7.80,500.00,34.40,317.20,0.00,0.00,1233.00
-12.9122222222222,-39.3641666666667,36.00,29.20,95.00,1.50,145.00,3.90,266.00,0.00,1.50,547.00
-12.9897222222222,-39.1302777777778,7.20,5.40,18.00,2.80,23.00,1.50,70.80,0.00,0.00,140.00
-12.9325,-38.6255555555556,25.60,17.98,14.40,4.10,22.00,10.90,158.60,0.00,0.00,235.00
-13.0633333333333,-38.7883333333333,27.20,12.63,5.00,0.00,10.00,1.90,145.40,0.00,0.00,140.00
-12.8355555555556,-39.1036111111111,36.00,41.31,119.00,1.60,160.00,51.00,290.36,14.38,0.00,722.00
-12.8355555555556,-38.9441666666667,4.00,7.29,8.00,1.00,12.00,0.00,48.80,0.00,0.00,81.00
-12.5719444444444,-38.8952777777778,9.60,7.77,14.00,4.10,25.00,0.70,21.96,0.00,55.00,138.13
-13.1147222222222,-38.9027777777778,1.60,1.94,1.60,0.60,7.00,0.70,7.32,0.00,0.00,20.76
-12.0302777777778,-38.8494444444444,7.20,6.80,98.00,5.90,111.00,13.40,51.24,0.00,75.00,550.00
-12.4819444444444,-39.2163888888889,8.80,12.15,45.60,9.10,146.00,3.90,19.52,0.00,22.00,386.00
-12.1869444444444,-39.3452777777778,64.00,80.00,205.00,15.00,350.00,34.00,336.72,0.00,172.50,1164.00
-12.125,-39.1080555555556,210.00,499.36,775.00,14.70,2750.00,150.00,126.88,0.00,1.50,5057.00
-12.9541666666667,-38.3563888888889,28.00,3.90,16.60,1.30,35.00,10.80,85.40,0.00,12.00,190.00
-12.9875,-38.3563888888889,46.00,17.50,18.30,3.10,68.00,8.50,175.70,0.00,0.00,324.00
-12.0166666666667,-38.6166666666667,4.00,3.89,29.00,8.10,50.50,7.69,9.76,0.00,20.50,135.00
-12.0666666666667,-38.55,4.80,3.40,17.25,1.12,34.50,8.65,9.76,0.00,0.00,80.00
-12.1333333333333,-38.65,5.60,8.60,69.37,15.50,135.00,12.01,17.08,0.00,0.00,338.00
-12.1166666666667,-38.4166666666667,4.00,1.70,5.80,0.60,10.00,10.09,12.20,0.00,0.00,63.00
-12.2,-38.6166666666667,6.40,5.59,31.50,15.50,49.00,5.77,24.40,0.00,38.60,227.00
-12.2,-38.5,2.00,6.32,26.50,8.80,46.00,11.05,7.32,0.00,44.50,207.00
-12.3166666666667,-38.7666666666667,2.40,6.80,8.75,1.75,19.00,7.69,4.88,0.00,17.60,70.00
-12.2833333333333,-38.6166666666667,4.00,8.26,30.50,12.40,59.00,27.77,21.96,0.00,0.00,200.00
-12.2666666666667,-38.525,11.20,22.84,113.75,34.60,24.99,7.39,0.00,0.00,0.00,0.00
-12.2666666666667,-38.3666666666667,4.80,10.69,101.25,11.80,195.00,13.45,9.76,0.00,0.00,440.00
-12.2166666666667,-38.2166666666667,6.40,3.89,13.75,4.62,29.00,6.73,8.54,0.00,20.50,120.00
-12.3166666666667,-38.3666666666667,26.40,1.45,24.00,20.00,46.00,11.52,87.84,0.00,0,218.00
-12.2833333333333,-38.2166666666667,8.80,5.35,7.75,2.74,14.00,6.73,24.40,0.00,25.00,100.00
-12.35,-38.3833333333333,6.40,6.80,33.50,15.00,86.00,17.32,5.76,0.00,0.00,184.00
-12.3583333333333,-38.2333333333333,1.60,2.43,13.75,4.48,24.00,4.81,8.54,0.00,5.80,70.00
-12.4,-38.75,4.00,3.40,8.75,3.60,19.50,10.57,16.98,0.00,0.00,112.00
-12.4,-38,9.60,6.80,32.50,15.90,71.00,17.29,12.08,0.00,0.00,438.00
-12.4,-38.4666666666667,1.60,1.94,10.75,5.06,17.00,5.77,10.98,0.00,0.00,82.00
-12.4333333333333,-38.3666666666667,135.20,13.61,33.75,27.00,78.00,53.81,414.80,0.00,0.00,776.00
-12.3833333333333,-38.15,1.60,1.94,10.75,1.56,20.00,6.73,8.54,0.00,0.00,56.00
-12.4833333333333,-38.6166666666667,13.60,15.07,67.50,6.20,12.70,8.17,34.16,328.00,0.00,0.00
-12.4666666666667,-38.55,4.00,4.81,9.50,1.86,15.50,7.41,41.96,0.00,3.30,70.00
-12.5333333333333,-38.7166666666667,64.00,38.88,197.00,40.50,270.00,5.28,500.20,0.00,3.20,1000.00
-12.5333333333333,-38.5666666666667,16.00,3.40,9.50,2.00,13.00,5.77,68.32,0.00,0.00,120.00
-12.5166666666667,-38.5,12.00,9.23,49.50,22.50,88.00,6.73,4.88,0.00,78.00,334.00
-12.5333333333333,-38.3166666666667,2.40,1.94,6.40,2.24,13.50,6.73,4.88,0.00,0.00,66.00
-12.6166666666667,-33.8166666666667,6.40,2.43,5.60,1.56,10.50,6.73,21.96,0.00,2.30,80.00
-12.6,-38.5666666666667,3.20,1.46,9.75,2.18,20.50,4.80,7.32,0.00,2.90,69.00
-12.6,-38.4,1.60,1.46,5.40,0.60,10.00,4.32,6.10,0.00,0.00,34.00
-12.6,-38.6,60.80,9.23,31.00,14.50,44.00,64.39,68.34,0.00,0.00,362.00
-12.6333333333333,-38.6166666666667,4.80,1.46,9.75,4.18,19.00,5.77,7.32,8.75,60.00,0.00
-12.65,-38.4680555555556,10.40,1.94,8.75,3.34,16.50,5.77,34.16,0.00,0.00,80.00
-12.65,-38.1666666666667,4.00,0.97,17.50,1.00,30.00,1.92,9.76,0.00,0.00,111.00
-12.7333333333333,-38.7666666666667,2.40,0.49,4.00,1.00,8.00,4.81,4.88,0.00,0.00,25.00
-12.6666666666667,-38.55,11.20,9.76,67.50,14.60,102.00,7.69,4.88,0.00,96.00,388.00
-12.7,-38.3166666666667,48.00,5.58,47.00,20.00,98.00,21.14,134.20,0.00,0.00,393.00
-12.7833333333333,-38.4,6.80,2.19,10.73,3.34,17.50,9.61,29.28,0.00,0.00,116.00
-12.8333333333333,-38.2666666666667,11.20,3.40,24.25,16.70,30.00,10.09,70.82,0.00,0.00,188.00
-12.8666666666667,-38.4333333333333,9.60,1.46,7.00,1.74,13.00,11.53,26.84,0.00,0.00,85.00
-12,-38.3166666666667,3.20,5.35,32.50,2.98,59.00,15.37,12.20,0.00,0.00,166.00
-12.0833333333333,-38.5,7.20,8.75,19.50,10.00,45.00,28.83,14.64,0.00,0.00,196.00
-12.2536111111111,-38.9333333333333,2.40,1.94,36.25,4.50,48.50,4.80,34.16,0.00,0.00,0.00
-12.2533333333333,-38.9333333333333,1.60,1.94,25.05,2.95,29.00,5.76,43.92,0.00,0.00,0.00
-12.3333333333333,-38.9333333333333,1.60,1.46,27.25,4.00,29.50,4.80,41.48,0.00,0.00,0.00
-12.3166666666667,-38.9333333333333,2.40,2.67,27.55,4.90,36.50,7.68,41.48,0.00,0.00,0.00
-12.3,-38.9333333333333,3.20,0.48,25.00,5.00,26.00,1.92,39.04,0.00,0.00,0.00
-12.2833333333333,-38.9333333333333,2.40,1.45,27.50,4.60,28.00,6.72,51.24,0.00,0.00,0.00
-12.2666666666667,-38.9333333333333,1.60,3.16,30.00,4.90,36.00,6.72,46.36,0.00,0.00,0.00
-12.2644444444444,-38.9333333333333,15.20,10.69,25.50,10.00,23.00,37.95,89.60,0.00,0.00,0.00
-12.25,-38.9333333333333,4.80,0.48,37.00,6.00,42.00,2.88,48.00,0.00,0.00,0.00
-12.2527777777778,-38.9333333333333,4.40,2.67,25.75,6.20,21.00,12.49,53.68,0.00,0.00,0.00
-12.2036111111111,-38.8705555555556,3.60,13.60,227.50,14.20,360.00,31.70,43.94,0.00,0.00,0.00
-12.2938888888889,-38.8402777777778,261.00,311.52,210.00,30.00,1,400.00,211.42,292.80,0.00,0.00
-12.3380555555556,-38.85,20.00,0.95,30.00,3.00,21.00,29.79,80.52,0.00,0.00,0.00
-12.3916666666667,-38.8138888888889,10.40,3.40,19.00,1.00,15.00,18.43,53.68,0.00,0.00,0.00
-12.2694444444444,-38.9416666666667,1.60,0.97,34.00,5.00,33.00,20.18,21.96,0.00,0.00,0.00
-12.2066666666667,-38.9727777777778,4.00,6.07,94.00,9.20,161.25,9.12,14.64,0.00,0.00,0.00
-12.7833333333333,-38.4,14.00,6.31,127.50,11.80,235.00,11.05,14.64,0.00,0.00,0.00
-12.7833333333333,-38.4,52.00,2.67,29.00,7.50,27.00,8.64,63.44,0.00,0.00,0.00
-12.6805555555556,-41.2138888888889,63.60,20.70,11.20,3.10,28.40,7.90,265.00,0.00,0.00,0.00
-12.6416666666667,-41.1722222222222,57.10,7.20,9.45,2.30,21.50,2.40,198.00,0.00,2.00,0.00
-12.475,-41.0555555555556,158.00,27.60,23.90,5.00,48.00,81.00,515.00,0.00,0.00,0.00
