"Latitude","Longitude","CA","MG","Na","K","Cl","So4","HCo3","Co3","No3","RS"
"-12,5166666666667","-38,5",12,9.23,49.5,22.5,88,6.73,4.88,0,78,334
"-12,35","-38,3833333333333",6.4,6.8,33.5,15,86,17.32,5.76,0,0,184
"-12,9916666666667","-39,3777777777778",26.1,12.3,63.8,5.4,84,8.1,58,0,107,0
"-12,625","-40,9555555555556",5.8,5.9,49.5,11.5,82.6,12.1,31,0,10.4,208
"-12,275","-40,9972222222222",73.3,46.1,55.1,7.4,80,87,365,0,4.5,720
"-12,4333333333333","-38,3666666666667",135.2,13.61,33.75,27,78,53.81,414.8,0,0,776
"-12,6916666666667","-41,0055555555556",47.6,44.8,29,8.6,75.5,1,320,0,0,0
"-12,4",-38,9.6,6.8,32.5,15.9,71,17.29,12.08,0,0,438
"-12,7277777777778","-40,4972222222222",87.8,60,26.5,8.46,69,62,464,0,0,0
"-12,9875","-38,3563888888889",46,17.5,18.3,3.1,68,8.5,175.7,0,0,324
"-12,6755555555556","-40,8675",2.6,2,46,17.4,63,17.8,31,0,1,180.8
"-12,3016666666667","-38,6394444444444",17.6,13.6,21.5,13,63,3.5,73.2,0,8.5,190
"-12,5111111111111","-39,0083333333333",1.2,6,52.8,13.4,61.4,2.3,6.1,0,79,0
"-12,2833333333333","-38,6166666666667",4,8.26,30.5,12.4,59,27.77,21.96,0,0,200
-12,"-38,3166666666667",3.2,5.35,32.5,2.98,59,15.37,12.2,0,0,166
"-12,5877777777778","-39,5205555555556",14.4,8.74,15.2,1,56,5.6,29.28,0,2,135
"-12,2883333333333","-41,0505555555556",60,28.67,17,10.4,53,11.2,263.52,0,10,332
"-12,0166666666667","-38,6166666666667",4,3.89,29,8.1,50.5,7.69,9.76,0,20.5,135
"-12,2","-38,6166666666667",6.4,5.59,31.5,15.5,49,5.77,24.4,0,38.6,227
"-12,6463888888889","-38,0633333333333",34,9.72,20.5,2.5,49,48,73.2,0,0,230
"-12,2536111111111","-38,9333333333333",2.4,1.94,36.25,4.5,48.5,4.8,34.16,0,0,0
"-12,475","-41,0555555555556",158,27.6,23.9,5,48,81,515,0,0,0
"-12,3166666666667","-38,3666666666667",26.4,1.45,24,20,46,11.52,87.84,0,0,218
"-12,2","-38,5",2,6.32,26.5,8.8,46,11.05,7.32,0,44.5,207
"-12,0833333333333","-38,5",7.2,8.75,19.5,10,45,28.83,14.64,0,0,196
